kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos,risk_pred,risk_proba_severe
Kota Bogor,3,24.8,88.11,75.42,34.8,308.5,0.5124,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,1.0,6.123233995736766e-17,1,0.002151416122004357
Kota Cirebon,3,26.19,85.8,77.49,34.48,261.5,0.4824,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,1.0,6.123233995736766e-17,1,0.0032244142939264887
Kota Cirebon,3,26.19,85.8,77.49,34.48,261.5,0.4824,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,1.0,6.123233995736766e-17,1,0.004038412459000694
Kota Sukabumi,3,23.13,89.41,72.72,30.22,262.8,0.5988,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.0026915485375919,1.0,6.123233995736766e-17,1,7.439024390243904e-05
Kota Sukabumi,3,23.13,89.41,72.72,30.22,262.8,0.5988,1,sukabumi,Kota Sukabumi,3450,71.875,0.0144927536231884,1.0,6.123233995736766e-17,1,0.002260197900298331
Kuningan,3,24.71,89.08,75.36,28.27,325.6,0.7996,1,kuningan,Kabupaten Kuningan,388700,347.9856759176365,0.0077180344738873,1.0,6.123233995736766e-17,1,4.4444444444444447e-05
Majalengka,3,24.76,88.75,75.43,29.42,294.9,0.7369,1,majalengka,Kabupaten Majalengka,290500,241.27906976744185,0.0017211703958691,1.0,6.123233995736766e-17,1,0.0
Purwakarta,3,25.03,87.86,75.77,29.26,269.5,0.7348,1,purwakarta,Kabupaten Purwakarta,145250,176.06060606060606,0.0010327022375215,1.0,6.123233995736766e-17,1,5e-05
Subang,3,25.68,87.08,76.78,29.57,236.2,0.7174,1,subang,Kabupaten Subang,206200,109.506107275624,0.0009699321047526,1.0,6.123233995736766e-17,1,0.0006914738229806723
Sukabumi,3,24.11,88.83,74.33,27.14,283.9,0.7881,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.0026915485375919,1.0,6.123233995736766e-17,1,0.002
Sukabumi,3,24.11,88.83,74.33,27.14,283.9,0.7881,1,sukabumi,Kota Sukabumi,3450,71.875,0.0144927536231884,1.0,6.123233995736766e-17,1,0.0021858076563958913
Sumedang,3,23.89,89.39,74.02,28.41,298.9,0.7859,1,sumedang,Kabupaten Sumedang,286500,188.23915900131405,0.0069808027923211,1.0,6.123233995736766e-17,1,0.0
Kota Bekasi,3,26.77,84.37,78.28,36.78,218.7,0.3811,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,1.0,6.123233995736766e-17,1,0.02689400118400118
Kota Bekasi,3,26.77,84.37,78.28,36.78,218.7,0.3811,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,1.0,6.123233995736766e-17,1,0.038869335117207464
Kota Depok,3,26.24,85.71,77.56,36.21,233.9,0.4622,1,depok,Kota Depok,610,3.05,0.0163934426229508,1.0,6.123233995736766e-17,1,0.011494102016974355
Bandung,4,22.11,89.35,70.99,26.8,438.4,0.7203,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.8660254037844387,-0.4999999999999998,0,0.0
Bandung,4,22.11,89.35,70.99,26.8,438.4,0.7203,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.8660254037844387,-0.4999999999999998,0,0.001093983019564415
Kota Cimahi,4,23.55,88.97,73.39,34.07,374.0,0.3549,1,cimahi,Kota Cimahi,1140,28.5,0.0263157894736842,0.8660254037844387,-0.4999999999999998,1,0.013661875200623057
Kota Tasikmalaya,4,24.54,90.56,75.23,31.18,415.7,0.6822,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.8660254037844387,-0.4999999999999998,1,0.00553468253968254
Kota Tasikmalaya,4,24.54,90.56,75.23,31.18,415.7,0.6822,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.8660254037844387,-0.4999999999999998,1,0.0033235714285714288
Tasikmalaya,4,24.72,89.76,75.46,28.04,364.5,0.8143,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.8660254037844387,-0.4999999999999998,1,0.000673015873015873
Tasikmalaya,4,24.72,89.76,75.46,28.04,364.5,0.8143,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.8660254037844387,-0.4999999999999998,1,0.0006285714285714285
Ciamis,4,25.46,89.2,76.64,28.69,357.2,0.808,1,ciamis,Kabupaten Ciamis,546900,381.6468946266573,0.0073139513622234,0.8660254037844387,-0.4999999999999998,1,0.000673015873015873
Kota Banjar,4,26.38,89.3,78.22,30.72,357.7,0.7258,1,banjar,Kota Banjar,10610,93.0701754385965,0.0188501413760603,0.8660254037844387,-0.4999999999999998,1,0.0009485714285714285
Bekasi,4,27.35,86.21,79.46,33.05,229.7,0.5355,2,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,0.8660254037844387,-0.4999999999999998,2,0.9506104299060113
Bekasi,4,27.35,86.21,79.46,33.05,229.7,0.5355,2,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,0.8660254037844387,-0.4999999999999998,2,0.8614891328044203
Bogor,4,24.94,88.06,75.65,29.84,535.1,0.7259,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,0.8660254037844387,-0.4999999999999998,1,0.000673015873015873
Bogor,4,24.94,88.06,75.65,29.84,535.1,0.7259,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,0.8660254037844387,-0.4999999999999998,1,0.005555981152150782
Cianjur,4,24.09,89.38,74.35,27.82,437.8,0.7797,1,cianjur,Kabupaten Cianjur,611500,175.7183908045977,0.008176614881439,0.8660254037844387,-0.4999999999999998,1,0.0006285714285714285
Cirebon,4,27.29,84.81,79.19,32.0,255.1,0.6563,2,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,0.8660254037844387,-0.4999999999999998,2,0.8466231772439022
Cirebon,4,27.29,84.81,79.19,32.0,255.1,0.6563,2,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,0.8660254037844387,-0.4999999999999998,2,0.8689604513578338
Garut,4,22.96,89.4,72.44,27.0,366.2,0.7981,1,garut,Kabupaten Garut,1371800,447.5693311582382,0.0182242309374544,0.8660254037844387,-0.4999999999999998,1,0.0002857142857142857
Indramayu,4,27.49,85.42,79.6,30.21,206.7,0.685,2,indramayu,Kabupaten Indramayu,175600,83.65888518342068,0.0005694760820045,0.8660254037844387,-0.4999999999999998,2,0.8497584430112372
Karawang,4,27.3,86.55,79.43,31.66,217.9,0.5394,2,karawang,Kabupaten Karawang,107600,65.13317191283294,0.0009293680297397,0.8660254037844387,-0.4999999999999998,2,0.913245770310864
Kota Bandung,4,23.25,89.29,72.91,33.89,385.3,0.3773,1,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.8660254037844387,-0.4999999999999998,1,0.003800112044817927
Kota Bandung,4,23.25,89.29,72.91,33.89,385.3,0.3773,1,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.8660254037844387,-0.4999999999999998,1,0.019040141378889236
Kota Bogor,4,25.49,88.09,76.57,34.99,631.3,0.5053,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,0.8660254037844387,-0.4999999999999998,1,0.008356289020507097
Kota Bogor,4,25.49,88.09,76.57,34.99,631.3,0.5053,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,0.8660254037844387,-0.4999999999999998,1,0.018196610087485604
Kota Cirebon,4,26.75,84.5,78.27,35.6,250.8,0.4839,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,0.8660254037844387,-0.4999999999999998,1,0.045954105925823996
