kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos
Sukabumi,3,24.11,88.83,74.33,27.14,283.9,0.7881,1,sukabumi,Kota Sukabumi,3450,71.875,0.014492753623188406,1.0,6.123233995736766e-17
Sumedang,3,23.89,89.39,74.02,28.41,298.9,0.7859,1,sumedang,Kabupaten Sumedang,286500,188.23915900131405,0.006980802792321117,1.0,6.123233995736766e-17
Kota Bekasi,3,26.77,84.37,78.28,36.78,218.7,0.3811,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099279,1.0,6.123233995736766e-17
Kota Bekasi,3,26.77,84.37,78.28,36.78,218.7,0.3811,1,bekasi,Kota Bekasi,920,4.380952380952381,0.021739130434782608,1.0,6.123233995736766e-17
Kota Depok,3,26.24,85.71,77.56,36.21,233.9,0.4622,1,depok,Kota Depok,610,3.05,0.01639344262295082,1.0,6.123233995736766e-17
Bandung,4,22.11,89.35,70.99,26.8,438.4,0.7203,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.07569721115537849,0.8660254037844387,-0.4999999999999998
Bandung,4,22.11,89.35,70.99,26.8,438.4,0.7203,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017096,0.8660254037844387,-0.4999999999999998
Kota Cimahi,4,23.55,88.97,73.39,34.07,374.0,0.3549,1,cimahi,Kota Cimahi,1140,28.5,0.02631578947368421,0.8660254037844387,-0.4999999999999998
Kota Tasikmalaya,4,24.54,90.56,75.23,31.18,415.7,0.6822,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.015965939329430547,0.8660254037844387,-0.4999999999999998
Kota Tasikmalaya,4,24.54,90.56,75.23,31.18,415.7,0.6822,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652173,0.024067388688327317,0.8660254037844387,-0.4999999999999998
Tasikmalaya,4,24.72,89.76,75.46,28.04,364.5,0.8143,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.015965939329430547,0.8660254037844387,-0.4999999999999998
Tasikmalaya,4,24.72,89.76,75.46,28.04,364.5,0.8143,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652173,0.024067388688327317,0.8660254037844387,-0.4999999999999998
Ciamis,4,25.46,89.2,76.64,28.69,357.2,0.808,1,ciamis,Kabupaten Ciamis,546900,381.64689462665734,0.007313951362223441,0.8660254037844387,-0.4999999999999998
Kota Banjar,4,26.38,89.3,78.22,30.72,357.7,0.7258,1,banjar,Kota Banjar,10610,93.0701754385965,0.01885014137606032,0.8660254037844387,-0.4999999999999998
Bekasi,4,27.35,86.21,79.46,33.05,229.7,0.5355,2,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099279,0.8660254037844387,-0.4999999999999998
