kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category,clean_name,nama_wilayah,total_ternak,densitas_ternak,proporsi_sapi_perah,bulan_sin,bulan_cos,risk_pred,risk_proba_severe
Kota Bogor,3,24.17,87.76,74.32,29.78,285.9,0.5362,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,1.0,6.123233995736766e-17,1,5.785460683312962e-05
Kota Bogor,3,24.17,87.76,74.32,29.78,285.9,0.5362,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,1.0,6.123233995736766e-17,1,0.00021737841635693914
Kota Cirebon,3,25.49,85.5,76.3,35.49,230.5,0.4586,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,1.0,6.123233995736766e-17,1,0.002576752361090684
Kota Cirebon,3,25.49,85.5,76.3,35.49,230.5,0.4586,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,1.0,6.123233995736766e-17,1,0.0005341822151872044
Kota Sukabumi,3,22.54,88.21,71.63,32.53,213.3,0.5495,0,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.0026915485375919,1.0,6.123233995736766e-17,0,0.0005220489802346642
Kota Sukabumi,3,22.54,88.21,71.63,32.53,213.3,0.5495,0,sukabumi,Kota Sukabumi,3450,71.875,0.0144927536231884,1.0,6.123233995736766e-17,0,0.0006815727897584735
Kuningan,3,24.12,87.66,74.23,27.97,323.2,0.7642,1,kuningan,Kabupaten Kuningan,388700,347.9856759176365,0.0077180344738873,1.0,6.123233995736766e-17,1,6.376495847936598e-05
Majalengka,3,24.13,87.71,74.26,28.99,278.3,0.7057,1,majalengka,Kabupaten Majalengka,290500,241.27906976744185,0.0017211703958691,1.0,6.123233995736766e-17,1,0.000143764958479366
Purwakarta,3,24.38,87.23,74.63,27.29,221.3,0.6871,1,purwakarta,Kabupaten Purwakarta,145250,176.06060606060606,0.0010327022375215,1.0,6.123233995736766e-17,1,0.00015076978939724037
Subang,3,25.06,86.34,75.66,27.58,198.4,0.6933,1,subang,Kabupaten Subang,206200,109.506107275624,0.0009699321047526,1.0,6.123233995736766e-17,1,8.043162514603265e-05
Sukabumi,3,23.53,87.93,73.27,27.22,254.5,0.7774,1,sukabumi,Kabupaten Sukabumi,780220,187.462758289284,0.0026915485375919,1.0,6.123233995736766e-17,1,5.410312273057371e-05
Sukabumi,3,23.53,87.93,73.27,27.22,254.5,0.7774,1,sukabumi,Kota Sukabumi,3450,71.875,0.0144927536231884,1.0,6.123233995736766e-17,1,0.00018893557422969187
Sumedang,3,23.24,88.29,72.81,27.7,265.8,0.7431,1,sumedang,Kabupaten Sumedang,286500,188.23915900131405,0.0069808027923211,1.0,6.123233995736766e-17,1,6.376495847936598e-05
Kota Bekasi,3,25.94,85.27,77.02,0.0,180.4,0.3291,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,1.0,6.123233995736766e-17,1,0.002176470588235294
Kota Bekasi,3,25.94,85.27,77.02,0.0,180.4,0.3291,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,1.0,6.123233995736766e-17,1,0.00036363636363636367
Kota Depok,3,25.43,86.37,76.29,0.0,220.2,0.5196,1,depok,Kota Depok,610,3.05,0.0163934426229508,1.0,6.123233995736766e-17,1,0.002
Bandung,4,21.34,86.45,69.49,26.25,370.6,0.7139,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.8660254037844387,-0.4999999999999998,0,0.0
Bandung,4,21.34,86.45,69.49,26.25,370.6,0.7139,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.8660254037844387,-0.4999999999999998,0,0.0
Kota Cimahi,4,22.89,85.8,72.02,35.01,329.1,0.3627,1,cimahi,Kota Cimahi,1140,28.5,0.0263157894736842,0.8660254037844387,-0.4999999999999998,1,0.0014458333333333333
Kota Tasikmalaya,4,23.84,87.92,73.78,29.58,392.6,0.6682,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.8660254037844387,-0.4999999999999998,1,9.66183574879227e-06
Kota Tasikmalaya,4,23.84,87.92,73.78,29.58,392.6,0.6682,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.8660254037844387,-0.4999999999999998,1,2.6328502415458936e-05
Tasikmalaya,4,24.01,87.34,74.02,26.21,335.2,0.8076,1,tasikmalaya,Kabupaten Tasikmalaya,751600,283.5156544700113,0.0159659393294305,0.8660254037844387,-0.4999999999999998,1,0.0
Tasikmalaya,4,24.01,87.34,74.02,26.21,335.2,0.8076,1,tasikmalaya,Kota Tasikmalaya,16620,90.32608695652172,0.0240673886883273,0.8660254037844387,-0.4999999999999998,1,0.0
Ciamis,4,24.82,86.81,75.33,27.37,344.3,0.7772,1,ciamis,Kabupaten Ciamis,546900,381.6468946266573,0.0073139513622234,0.8660254037844387,-0.4999999999999998,1,0.0
Kota Banjar,4,25.79,87.15,76.98,30.2,352.1,0.6795,1,banjar,Kota Banjar,10610,93.0701754385965,0.0188501413760603,0.8660254037844387,-0.4999999999999998,1,2.6328502415458936e-05
Bekasi,4,26.81,82.11,78.07,33.72,123.8,0.525,1,bekasi,Kabupaten Bekasi,62450,49.01883830455259,0.0008006405124099,0.8660254037844387,-0.4999999999999998,1,0.008836508668730031
Bekasi,4,26.81,82.11,78.07,33.72,123.8,0.525,1,bekasi,Kota Bekasi,920,4.380952380952381,0.0217391304347826,0.8660254037844387,-0.4999999999999998,1,0.0030394850247791425
Bogor,4,24.26,84.3,74.14,30.19,313.2,0.7191,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,0.8660254037844387,-0.4999999999999998,1,9.66183574879227e-06
Bogor,4,24.26,84.3,74.14,30.19,313.2,0.7191,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,0.8660254037844387,-0.4999999999999998,1,0.00016918564527260176
Cianjur,4,23.31,86.23,72.76,26.61,317.8,0.7874,1,cianjur,Kabupaten Cianjur,611500,175.7183908045977,0.008176614881439,0.8660254037844387,-0.4999999999999998,1,2.4691358024691357e-05
Cirebon,4,26.49,84.0,77.78,31.35,256.6,0.6051,1,cirebon,Kabupaten Cirebon,239100,242.9878048780488,0.0020911752404851,0.8660254037844387,-0.4999999999999998,1,0.00011435319377348364
Cirebon,4,26.49,84.0,77.78,31.35,256.6,0.6051,1,cirebon,Kota Cirebon,1510,40.810810810810814,0.0066225165562913,0.8660254037844387,-0.4999999999999998,1,0.00021464019072714723
Garut,4,22.1,87.26,70.81,25.16,342.2,0.7931,0,garut,Kabupaten Garut,1371800,447.5693311582382,0.0182242309374544,0.8660254037844387,-0.4999999999999998,0,0.0
Indramayu,4,26.81,83.36,78.22,31.19,178.1,0.5766,1,indramayu,Kabupaten Indramayu,175600,83.65888518342068,0.0005694760820045,0.8660254037844387,-0.4999999999999998,1,0.0027698092627988684
Karawang,4,26.8,82.78,78.13,31.72,123.8,0.5677,1,karawang,Kabupaten Karawang,107600,65.13317191283294,0.0009293680297397,0.8660254037844387,-0.4999999999999998,1,0.0008077209169935574
Kota Bandung,4,22.58,86.51,71.55,35.1,342.6,0.3913,0,bandung,Kabupaten Bandung,502000,283.9366515837104,0.0756972111553784,0.8660254037844387,-0.4999999999999998,0,0.0
Kota Bandung,4,22.58,86.51,71.55,35.1,342.6,0.3913,0,bandung,Kota Bandung,2340,13.928571428571429,0.017094017094017,0.8660254037844387,-0.4999999999999998,0,0.0002222222222222222
Kota Bogor,4,24.8,84.16,75.02,35.9,385.0,0.5282,1,bogor,Kabupaten Bogor,938360,313.30884808013354,0.0089517882262671,0.8660254037844387,-0.4999999999999998,1,0.0005831721141771035
Kota Bogor,4,24.8,84.16,75.02,35.9,385.0,0.5282,1,bogor,Kota Bogor,4600,38.983050847457626,0.0217391304347826,0.8660254037844387,-0.4999999999999998,1,0.0037030133840183733
